dol_vehicle_id,electric_utility
101250425,CITY OF SEATTLE - (WA)
101250425,CITY OF TACOMA - (WA)
224162858,PACIFICORP
187279214,PACIFICORP
219428079,PUGET SOUND ENERGY INC
219428079,CITY OF TACOMA - (WA)
277791643,PUGET SOUND ENERGY INC
152371775,PUGET SOUND ENERGY INC
278247826,CITY OF SEATTLE - (WA)
278247826,CITY OF TACOMA - (WA)
113148129,PUGET SOUND ENERGY INC
145686754,CITY OF SEATTLE - (WA)
145686754,CITY OF TACOMA - (WA)
268997830,PUGET SOUND ENERGY INC
268997830,CITY OF TACOMA - (WA)
128319159,PUGET SOUND ENERGY INC
128319159,CITY OF TACOMA - (WA)
144130570,PUGET SOUND ENERGY INC
144130570,CITY OF TACOMA - (WA)
208712598,CITY OF SEATTLE - (WA)
208712598,CITY OF TACOMA - (WA)
142474272,PACIFICORP
156465963,PUGET SOUND ENERGY INC
216648813,PACIFICORP
226088971,PUGET SOUND ENERGY INC
226088971,CITY OF TACOMA - (WA)
262321321,PUGET SOUND ENERGY INC
207456623,PUGET SOUND ENERGY INC
207456623,CITY OF TACOMA - (WA)
176767076,PUGET SOUND ENERGY INC
176767076,CITY OF TACOMA - (WA)
236403296,PUGET SOUND ENERGY INC
236403296,CITY OF TACOMA - (WA)
271508961,PUGET SOUND ENERGY INC
3354571,PUGET SOUND ENERGY INC
476802679,PUGET SOUND ENERGY INC
100899858,PUGET SOUND ENERGY INC
100899858,CITY OF TACOMA - (WA)
144826083,PUGET SOUND ENERGY INC
196428809,PUGET SOUND ENERGY INC
238436845,PUGET SOUND ENERGY INC
170316877,CITY OF SEATTLE - (WA)
170316877,CITY OF TACOMA - (WA)
151016288,PUGET SOUND ENERGY INC
126817778,PUGET SOUND ENERGY INC
271060730,PUGET SOUND ENERGY INC
248988274,PUGET SOUND ENERGY INC
248988274,CITY OF TACOMA - (WA)
103340226,CITY OF SEATTLE - (WA)
103340226,CITY OF TACOMA - (WA)
329236610,CITY OF SEATTLE - (WA)
329236610,CITY OF TACOMA - (WA)
295732972,PUGET SOUND ENERGY INC
1843054,PUGET SOUND ENERGY INC
183278280,PUGET SOUND ENERGY INC
8152749,PUGET SOUND ENERGY INC
8152749,CITY OF TACOMA - (WA)
215009826,PACIFICORP
312944376,PUGET SOUND ENERGY INC
232662251,PUGET SOUND ENERGY INC
232662251,CITY OF TACOMA - (WA)
176159819,PUGET SOUND ENERGY INC
161233173,PUGET SOUND ENERGY INC
107503133,CITY OF SEATTLE - (WA)
107503133,CITY OF TACOMA - (WA)
235081794,CITY OF SEATTLE - (WA)
235081794,CITY OF TACOMA - (WA)
277000965,PUGET SOUND ENERGY INC
277000965,CITY OF TACOMA - (WA)
264705717,PUGET SOUND ENERGY INC
293742053,CITY OF SEATTLE - (WA)
293742053,CITY OF TACOMA - (WA)
193646771,PUGET SOUND ENERGY INC
193646771,CITY OF TACOMA - (WA)
273916926,PUGET SOUND ENERGY INC
171077357,PUGET SOUND ENERGY INC
303944882,CITY OF SEATTLE - (WA)
303944882,CITY OF TACOMA - (WA)
477093326,CITY OF SEATTLE - (WA)
477093326,CITY OF TACOMA - (WA)
338140120,CITY OF SEATTLE - (WA)
338140120,CITY OF TACOMA - (WA)
179356943,PUGET SOUND ENERGY INC
179356943,CITY OF TACOMA - (WA)
258543701,PUGET SOUND ENERGY INC
258543701,CITY OF TACOMA - (WA)
241431592,PACIFICORP
267139813,PUGET SOUND ENERGY INC
6217662,PUGET SOUND ENERGY INC
276712278,PUGET SOUND ENERGY INC
270927310,PUGET SOUND ENERGY INC
270927310,CITY OF TACOMA - (WA)
265257807,PUGET SOUND ENERGY INC
477830503,PUGET SOUND ENERGY INC
121226941,CITY OF SEATTLE - (WA)
121226941,CITY OF TACOMA - (WA)
476442522,PUGET SOUND ENERGY INC
254313769,PUGET SOUND ENERGY INC
254313769,CITY OF TACOMA - (WA)
179238895,PUGET SOUND ENERGY INC
129945245,PUGET SOUND ENERGY INC
208393776,CITY OF SEATTLE - (WA)
208393776,CITY OF TACOMA - (WA)
186096669,PUGET SOUND ENERGY INC
224388762,PUGET SOUND ENERGY INC
224388762,CITY OF TACOMA - (WA)
117687048,PUGET SOUND ENERGY INC
128798624,PUGET SOUND ENERGY INC
125707592,CITY OF SEATTLE - (WA)
125707592,CITY OF TACOMA - (WA)
115490903,PUGET SOUND ENERGY INC
276855162,PUGET SOUND ENERGY INC
258036929,PUGET SOUND ENERGY INC
202861893,CITY OF SEATTLE - (WA)
202861893,CITY OF TACOMA - (WA)
297132314,PUGET SOUND ENERGY INC
260841878,PUGET SOUND ENERGY INC
224330550,PUGET SOUND ENERGY INC
200539230,CITY OF SEATTLE - (WA)
200539230,CITY OF TACOMA - (WA)
206285075,PUGET SOUND ENERGY INC
271581446,PUGET SOUND ENERGY INC
261632514,PUGET SOUND ENERGY INC
261632514,CITY OF TACOMA - (WA)
240460559,PUGET SOUND ENERGY INC
271660686,PUGET SOUND ENERGY INC
151777167,PUGET SOUND ENERGY INC
108013846,PUGET SOUND ENERGY INC
108013846,CITY OF TACOMA - (WA)
244137120,PUGET SOUND ENERGY INC
123750616,CITY OF SEATTLE - (WA)
123750616,CITY OF TACOMA - (WA)
239885033,CITY OF SEATTLE - (WA)
239885033,CITY OF TACOMA - (WA)
273024629,PACIFICORP
347418676,PUGET SOUND ENERGY INC
347418676,CITY OF TACOMA - (WA)
260203576,CITY OF SEATTLE - (WA)
260203576,CITY OF TACOMA - (WA)
230080511,PACIFICORP
473696919,PUGET SOUND ENERGY INC
227446726,PUGET SOUND ENERGY INC
237667769,PUGET SOUND ENERGY INC
268713553,PUGET SOUND ENERGY INC
256346912,PUGET SOUND ENERGY INC
256346912,CITY OF TACOMA - (WA)
154031720,PUGET SOUND ENERGY INC
154031720,CITY OF TACOMA - (WA)
276392126,PUGET SOUND ENERGY INC
104818430,PUGET SOUND ENERGY INC
104818430,CITY OF TACOMA - (WA)
220675367,PUGET SOUND ENERGY INC
252905901,PUGET SOUND ENERGY INC
252905901,CITY OF TACOMA - (WA)
314737860,PUGET SOUND ENERGY INC
314737860,CITY OF TACOMA - (WA)
109067423,PUGET SOUND ENERGY INC
141262649,CITY OF SEATTLE - (WA)
141262649,CITY OF TACOMA - (WA)
261633634,PUGET SOUND ENERGY INC
280103393,CITY OF SEATTLE - (WA)
280103393,CITY OF TACOMA - (WA)
137126923,PUGET SOUND ENERGY INC
137126923,CITY OF TACOMA - (WA)
128816089,PUGET SOUND ENERGY INC
348359490,PUGET SOUND ENERGY INC
265774050,PUGET SOUND ENERGY INC
103390374,PUGET SOUND ENERGY INC
6406879,PUGET SOUND ENERGY INC
278683275,PUGET SOUND ENERGY INC
187119978,PUGET SOUND ENERGY INC
187119978,CITY OF TACOMA - (WA)
106727715,PUGET SOUND ENERGY INC
161355925,PUGET SOUND ENERGY INC
133119822,PUGET SOUND ENERGY INC
244620855,PUGET SOUND ENERGY INC
150330477,PUGET SOUND ENERGY INC
150330477,CITY OF TACOMA - (WA)
219586503,PUGET SOUND ENERGY INC
127271665,CITY OF SEATTLE - (WA)
127271665,CITY OF TACOMA - (WA)
257730574,PUGET SOUND ENERGY INC
255992950,PUGET SOUND ENERGY INC
1941502,CITY OF SEATTLE - (WA)
1941502,CITY OF TACOMA - (WA)
273747106,PUGET SOUND ENERGY INC
262480641,PUGET SOUND ENERGY INC
272616858,PACIFICORP
262982646,PUGET SOUND ENERGY INC
262982646,CITY OF TACOMA - (WA)
158195712,PUGET SOUND ENERGY INC
259009096,PUGET SOUND ENERGY INC
202407068,CITY OF SEATTLE - (WA)
202407068,CITY OF TACOMA - (WA)
246319314,PUGET SOUND ENERGY INC
246319314,CITY OF TACOMA - (WA)
348704002,MODERN ELECTRIC WATER COMPANY
271771790,PUGET SOUND ENERGY INC
176292056,PUGET SOUND ENERGY INC
258454556,PUGET SOUND ENERGY INC
301534215,PUGET SOUND ENERGY INC
214431171,PUGET SOUND ENERGY INC
272994844,PUGET SOUND ENERGY INC
274599188,PUGET SOUND ENERGY INC
221237712,PUGET SOUND ENERGY INC
270066044,PUGET SOUND ENERGY INC
202213987,PUGET SOUND ENERGY INC
259798220,PUGET SOUND ENERGY INC
259798220,CITY OF TACOMA - (WA)
107272392,PUGET SOUND ENERGY INC
107272392,CITY OF TACOMA - (WA)
269788662,PUGET SOUND ENERGY INC
230763249,PUGET SOUND ENERGY INC
159058350,CITY OF SEATTLE - (WA)
159058350,CITY OF TACOMA - (WA)
181085327,PUGET SOUND ENERGY INC
476167317,PUGET SOUND ENERGY INC
276419363,PUGET SOUND ENERGY INC
177558020,PUGET SOUND ENERGY INC
265328948,CITY OF SEATTLE - (WA)
265328948,CITY OF TACOMA - (WA)
350414382,PUGET SOUND ENERGY INC
219890254,PUGET SOUND ENERGY INC
227091000,CITY OF SEATTLE - (WA)
227091000,CITY OF TACOMA - (WA)
310989647,PUGET SOUND ENERGY INC
277978893,PUGET SOUND ENERGY INC
478429570,PACIFICORP
2179768,PUGET SOUND ENERGY INC
275514473,PUGET SOUND ENERGY INC
239666521,PUGET SOUND ENERGY INC
252308738,PUGET SOUND ENERGY INC
261234655,PUGET SOUND ENERGY INC
184994057,PUGET SOUND ENERGY INC
453939160,PUGET SOUND ENERGY INC
133041380,PUGET SOUND ENERGY INC
133041380,CITY OF TACOMA - (WA)
246683006,PUGET SOUND ENERGY INC
109347108,PUGET SOUND ENERGY INC
274604732,PUGET SOUND ENERGY INC
276946078,PUGET SOUND ENERGY INC
196806361,PUGET SOUND ENERGY INC
128577011,PUGET SOUND ENERGY INC
107026377,PUGET SOUND ENERGY INC
107026377,CITY OF TACOMA - (WA)
180652328,PUGET SOUND ENERGY INC
180652328,CITY OF TACOMA - (WA)
237827138,PACIFICORP
263027264,PUGET SOUND ENERGY INC
263027264,CITY OF TACOMA - (WA)
271756775,PUGET SOUND ENERGY INC
271756775,CITY OF TACOMA - (WA)
263375976,PUGET SOUND ENERGY INC
195234819,PUGET SOUND ENERGY INC
7960809,PUGET SOUND ENERGY INC
273368532,PUGET SOUND ENERGY INC
475007977,PUGET SOUND ENERGY INC
179170078,PUGET SOUND ENERGY INC
226152,CITY OF SEATTLE - (WA)
226152,CITY OF TACOMA - (WA)
348429084,CITY OF SEATTLE - (WA)
348429084,CITY OF TACOMA - (WA)
260720386,PUGET SOUND ENERGY INC
249980538,PUGET SOUND ENERGY INC
6743691,BONNEVILLE POWER ADMINISTRATION
6743691,PUD NO 1 OF CLARK COUNTY - (WA)
198488951,PUGET SOUND ENERGY INC
153892070,PUGET SOUND ENERGY INC
451287574,PUGET SOUND ENERGY INC
229801694,PUGET SOUND ENERGY INC
234305956,PACIFICORP
272643619,PUGET SOUND ENERGY INC
272643619,CITY OF TACOMA - (WA)
275859972,PUGET SOUND ENERGY INC
113001535,PUD NO 1 OF DOUGLAS COUNTY
256323126,AVISTA CORP
150413525,PUGET SOUND ENERGY INC
229720256,PUGET SOUND ENERGY INC
474767226,PUGET SOUND ENERGY INC
474767226,CITY OF TACOMA - (WA)
274961543,PUGET SOUND ENERGY INC
181865064,PUGET SOUND ENERGY INC
181865064,CITY OF TACOMA - (WA)
477937645,PUGET SOUND ENERGY INC
152594438,CITY OF SEATTLE - (WA)
152594438,CITY OF TACOMA - (WA)
228505259,PUGET SOUND ENERGY INC
3033012,PUGET SOUND ENERGY INC
276368508,PUGET SOUND ENERGY INC
161806830,PUGET SOUND ENERGY INC
202885203,CITY OF SEATTLE - (WA)
202885203,CITY OF TACOMA - (WA)
195067246,CITY OF SEATTLE - (WA)
195067246,CITY OF TACOMA - (WA)
266701151,PUGET SOUND ENERGY INC
242934611,PUGET SOUND ENERGY INC
242934611,CITY OF TACOMA - (WA)
272706689,PUGET SOUND ENERGY INC
241358904,PUGET SOUND ENERGY INC
241358904,CITY OF TACOMA - (WA)
200752261,PUGET SOUND ENERGY INC
259715137,CITY OF SEATTLE - (WA)
259715137,CITY OF TACOMA - (WA)
257988363,PUGET SOUND ENERGY INC
269497000,PACIFICORP
260418399,PUGET SOUND ENERGY INC
260418399,CITY OF TACOMA - (WA)
265978058,PUGET SOUND ENERGY INC
261787928,PUGET SOUND ENERGY INC
261563732,PUGET SOUND ENERGY INC
230164273,CITY OF SEATTLE - (WA)
230164273,CITY OF TACOMA - (WA)
193041677,CITY OF SEATTLE - (WA)
193041677,CITY OF TACOMA - (WA)
